Plant,Ant,Collection,Department,Locality,Area (RASP),Latitude,Longitude,Altitude (m) 
Tococa,Azteca,MFT147,Amazonas,Leticia,,-4.120033,-69.956267,92
Tococa,Azteca,MFT148,Amazonas,Leticia,,-4.120033,-69.956267,92
Tococa,Azteca,MFT341,Valle del Cauca,Buenaventura,,3.97011,-77.00326,66
Tococa,Azteca,MFT397,Antioquia,San Carlos,,6.19439,-75.00578,1111
Tococa,Azteca,MFT410,Putumayo,Villagarzon,,1.06082,-76.62243,515
Tococa,NN,MFT460,Putumayo,Villagarzon,,1.06447,-76.62798,579
Tococa,Pheidole,MFT188,Choco,Arusi,,5.57469,-77.49978,77
Tococa,Pheidole,MFT205,Choco,Arusi,,5.57137,-77.50076,64
Tococa stenoptera,Azteca,MFT293,Meta,S.J. de Arama,,3.273785,-73.893999,362
Tococa stenoptera,Pheidole,MFT294,Meta,S.J. de Arama,,3.273785,-73.893999,362
Tococa spadiciflora,Azteca,MFT132,Valle del Cauca,Buenaventura,,3.828908,-76.882435,96
Tococa spadiciflora,Pheidole,MFT189,Choco,Arusi,,5.57165,-77.50081,106
Tococa spadiciflora,Pheidole,MFT190,Choco,Arusi,,5.57165,-77.50081,106
Tococa spadiciflora,Pheidole,MFT191,Choco,Arusi,,5.57165,-77.50081,106
Tococa spadiciflora,Pheidole,MFT192,Choco,Arusi,,5.57165,-77.50081,106
Tococa spadiciflora,Pheidole,MFT204,Choco,Arusi,,5.57137,-77.50076,64
Tococa spadiciflora,Pheidole,MFT212,Choco,Arusi,,5.57136,-77.50111,53
Tococa spadiciflora,Pheidole,MFT224,Choco,Arusi,,5.57331,-77.5,66
Tococa spadiciflora,Pheidole,MFT233,Choco,Arusi,,5.57283,-77.49967,71
Tococa spadiciflora,Pheidole,MFT235,Choco,Arusi,,5.57283,-77.49967,71
Tococa spadiciflora,Pheidole,MFT241,Choco,Arusi,,5.5716,-77.49809,65
Tococa spadiciflora,Pheidole,MFT242,Choco,Arusi,,5.5716,-77.49809,65
Tococa spadiciflora,Pheidole,MFT253,Choco,Arusi,,5.57518,-77.49706,106
Tococa spadiciflora,Pheidole,MFT254,Choco,Arusi,,5.57518,-77.49706,106
Tococa spadiciflora,Pheidole,MFT256,Choco,Arusi,,5.57532,-77.49722,107
Tococa spadiciflora,Pheidole,MFT257,Choco,Arusi,,5.57532,-77.49722,107
Tococa spadiciflora,Pheidole,MFT260,Choco,Arusi,,5.57599,-77.50022,116
Tococa macrophysca,Azteca,MFT157,Amazonas,Leticia,,-4.120414,-69.954895,100
Tococa guianensis,Azteca,MFT125,Valle del Cauca,Buenaventura,,3.830342,-76.886715,125
Tococa guianensis,Azteca,MFT126,Valle del Cauca,Buenaventura,,3.830342,-76.886715,125
Tococa guianensis,Azteca,MFT127,Valle del Cauca,Buenaventura,,3.830342,-76.886715,125
Tococa guianensis,Azteca,MFT128,Valle del Cauca,Buenaventura,,3.830342,-76.886715,125
Tococa guianensis,Azteca,MFT128_967,Valle del Cauca,Buenaventura,,3.830342,-76.886715,125
Tococa guianensis,Azteca,MFT130,Valle del Cauca,Buenaventura,,3.830342,-76.886715,125
Tococa guianensis,Azteca,MFT134,Valle del Cauca,Buenaventura,,4.008196,-77.393975,17
Tococa guianensis,Azteca,MFT135,Valle del Cauca,Buenaventura,,4.008196,-77.393975,17
Tococa guianensis,Azteca,MFT136,Valle del Cauca,Buenaventura,,4.008196,-77.393975,17
Tococa guianensis,Azteca,MFT137,Valle del Cauca,Buenaventura,,4.008196,-77.393975,17
Tococa guianensis,Azteca,MFT138,Valle del Cauca,Buenaventura,,4.008196,-77.393975,17
Tococa guianensis,Azteca,MFT146,Amazonas,Leticia,,-4.120233,-69.955417,102
Tococa guianensis,Azteca,MFT150,Amazonas,Leticia,,-4.120167,-69.95645,93
Tococa guianensis,Azteca,MFT151,Amazonas,Leticia,,-4.120167,-69.95645,93
Tococa guianensis,Azteca,MFT153,Amazonas,Leticia,,-4.121283,-69.956217,98
Tococa guianensis,Azteca,MFT262,Meta,S.J. de Arama,,3.3599,-73.05728,547
Tococa guianensis,Azteca,MFT263,Meta,S.J. de Arama,,3.3599,-73.05728,547
Tococa guianensis,Azteca,MFT264,Meta,S.J. de Arama,,3.3599,-73.05728,547
Tococa guianensis,Azteca,MFT265,Meta,S.J. de Arama,,3.3599,-73.05728,547
Tococa guianensis,Azteca,MFT266,Meta,S.J. de Arama,,3.35989,-73.95729,537
Tococa guianensis,Azteca,MFT267,Meta,S.J. de Arama,,3.35628,-73.95497,667
Tococa guianensis,Azteca,MFT268,Meta,S.J. de Arama,,3.35027,-73.93858,506
Tococa guianensis,Azteca,MFT270,Meta,S.J. de Arama,,3.35032,-73.93868,510
Tococa guianensis,Azteca,MFT271,Meta,S.J. de Arama,,3.35024,-73.93856,503
Tococa guianensis,Azteca,MFT272,Meta,S.J. de Arama,,3.34677,-73.94125,471
Tococa guianensis,Azteca,MFT273,Meta,S.J. de Arama,,3.3468,-73.94115,485
Tococa guianensis,Azteca,MFT274,Meta,S.J. de Arama,,3.3468,-73.94115,485
Tococa guianensis,Azteca,MFT275,Meta,S.J. de Arama,,3.3468,-73.94115,485
Tococa guianensis,Azteca,MFT276,Meta,S.J. de Arama,,3.3468,-73.94115,485
Tococa guianensis,Azteca,MFT277,Meta,S.J. de Arama,,3.34654,-73.94096,505
Tococa guianensis,Azteca,MFT278,Meta,S.J. de Arama,,3.255973,-73.959157,642
Tococa guianensis,Azteca,MFT279,Meta,S.J. de Arama,,3.255973,-73.959157,642
Tococa guianensis,Azteca,MFT280,Meta,S.J. de Arama,,3.255973,-73.959157,642
Tococa guianensis,Azteca,MFT281,Meta,S.J. de Arama,,3.255973,-73.959157,642
Tococa guianensis,Azteca,MFT282,Meta,S.J. de Arama,,3.255973,-73.959157,642
Tococa guianensis,Azteca,MFT283,Meta,S.J. de Arama,,3.252329,-73.947661,398
Tococa guianensis,Azteca,MFT284,Meta,S.J. de Arama,,3.252329,-73.947661,398
Tococa guianensis,Azteca,MFT285,Meta,S.J. de Arama,,3.252329,-73.947661,398
Tococa guianensis,Azteca,MFT286,Meta,S.J. de Arama,,3.252329,-73.947661,398
Tococa guianensis,Azteca,MFT287,Meta,S.J. de Arama,,3.252329,-73.947661,398
Tococa guianensis,Azteca,MFT288,Meta,S.J. de Arama,,3.274046,-73.920469,421
Tococa guianensis,Azteca,MFT290,Meta,S.J. de Arama,,3.273785,-73.893999,362
Tococa guianensis,Azteca,MFT291,Meta,S.J. de Arama,,3.273785,-73.893999,362
Tococa guianensis,Azteca,MFT296,Meta,S.J. de Arama,,3.273785,-73.893999,361
Tococa guianensis,Azteca,MFT297,Meta,S.J. de Arama,,3.273785,-73.893999,361
Tococa guianensis,Azteca,MFT298,Meta,S.J. de Arama,,3.273785,-73.893999,361
Tococa guianensis,Azteca,MFT299,Meta,S.J. de Arama,,3.273785,-73.893999,361
Tococa guianensis,Azteca,MFT300,Meta,S.J. de Arama,,3.273785,-73.893999,361
Tococa guianensis,Azteca,MFT301,Meta,S.J. de Arama,,3.273785,-73.893999,361
Tococa guianensis,Azteca,MFT302,Valle del Cauca,Buenaventura,,3.95982,-77.01752,48
Tococa guianensis,Azteca,MFT303,Valle del Cauca,Buenaventura,,3.95982,-77.01752,48
Tococa guianensis,Azteca,MFT304,Valle del Cauca,Buenaventura,,3.95982,-77.01752,48
Tococa guianensis,Azteca,MFT305,Valle del Cauca,Buenaventura,,3.95982,-77.01752,48
Tococa guianensis,Azteca,MFT306,Valle del Cauca,Buenaventura,,3.95982,-77.01752,48
Tococa guianensis,Azteca,MFT308,Valle del Cauca,Buenaventura,,3.95948,-77.01772,50
Tococa guianensis,Azteca,MFT309,Valle del Cauca,Buenaventura,,3.95948,-77.01772,50
Tococa guianensis,Azteca,MFT311,Valle del Cauca,Buenaventura,,3.95966,-77.01755,61
Tococa guianensis,Azteca,MFT312,Valle del Cauca,Buenaventura,,3.95891,-77.01796,59
Tococa guianensis,Azteca,MFT314,Valle del Cauca,Buenaventura,,3.95839,-77.01857,47
Tococa guianensis,Azteca,MFT315,Valle del Cauca,Buenaventura,,3.95839,-77.01857,47
Tococa guianensis,Azteca,MFT316,Valle del Cauca,Buenaventura,,3.95839,-77.01857,47
Tococa guianensis,Azteca,MFT317,Valle del Cauca,Buenaventura,,3.95823,-77.01886,47
Tococa guianensis,Azteca,MFT318,Valle del Cauca,Buenaventura,,3.95823,-77.01886,47
Tococa guianensis,Azteca,MFT319,Valle del Cauca,Buenaventura,,3.95823,-77.01886,47
Tococa guianensis,Azteca,MFT321,Valle del Cauca,Buenaventura,,3.95806,-77.01912,42
Tococa guianensis,Azteca,MFT327,Valle del Cauca,Buenaventura,,3.95731,-77.01983,27
Tococa guianensis,Azteca,MFT328,Valle del Cauca,Buenaventura,,3.95731,-77.01983,27
Tococa guianensis,Azteca,MFT330,Valle del Cauca,Buenaventura,,3.95731,-77.01983,27
Tococa guianensis,Azteca,MFT332,Valle del Cauca,Buenaventura,,3.96765,-77.00463,47
Tococa guianensis,Azteca,MFT333,Valle del Cauca,Buenaventura,,3.96816,-77.00461,33
Tococa guianensis,Azteca,MFT334,Valle del Cauca,Buenaventura,,3.96816,-77.00461,33
Tococa guianensis,Azteca,MFT335,Valle del Cauca,Buenaventura,,3.96816,-77.00461,33
Tococa guianensis,Azteca,MFT336,Valle del Cauca,Buenaventura,,3.96816,-77.00461,33
Tococa guianensis,Azteca,MFT337,Valle del Cauca,Buenaventura,,3.96816,-77.00461,33
Tococa guianensis,Azteca,MFT338,Valle del Cauca,Buenaventura,,3.97001,-77.00346,48
Tococa guianensis,Azteca,MFT339,Valle del Cauca,Buenaventura,,3.97001,-77.00346,48
Tococa guianensis,Azteca,MFT340,Valle del Cauca,Buenaventura,,3.97001,-77.00346,48
Tococa guianensis,Azteca,MFT342,Valle del Cauca,Buenaventura,,3.97011,-77.00326,66
Tococa guianensis,Azteca,MFT343,Valle del Cauca,Buenaventura,,3.97011,-77.00326,66
Tococa guianensis,Azteca,MFT344,Valle del Cauca,Buenaventura,,3.97011,-77.00326,66
Tococa guianensis,Azteca,MFT345,Valle del Cauca,Buenaventura,,3.97001,-77.00346,48
Tococa guianensis,Azteca,MFT346,Valle del Cauca,Buenaventura,,3.97001,-77.00346,48
Tococa guianensis,Azteca,MFT347,Valle del Cauca,Buenaventura,,3.97001,-77.00346,48
Tococa guianensis,Azteca,MFT348,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT349,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT350,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT351,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT352,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT353,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT354,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT355,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT356,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT357,Valle del Cauca,Buenaventura,,3.97306,-77.00214,49
Tococa guianensis,Azteca,MFT358,Valle del Cauca,Buenaventura,,3.95281,-76.99081,103
Tococa guianensis,Azteca,MFT360,Valle del Cauca,Buenaventura,,3.95281,-76.99081,103
Tococa guianensis,Azteca,MFT361,Valle del Cauca,Buenaventura,,3.95281,-76.99081,103
Tococa guianensis,Azteca,MFT365,Valle del Cauca,Buenaventura,,3.9536,-76.9919,64
