traits	site	
FJ161760_Irid_purpureus_AW28	Australia	
FJ161787_Lin_micans_AT	EastBrasil	
FJ161780_Lin_iniquum_AW23	EastBrasil	
JQ867690_Az_pitt_B048	CentralAmerica	
JQ867691_Az_pitt_B052	CentralAmerica	
JQ867692_Az_belt_B054	CentralAmerica	
JQ867694_Az_pitt_B058	CentralAmerica	
JQ867695_Az_pitt_B059	CentralAmerica	
JQ867696_Az_pitt_B060	CentralAmerica	
JQ867697_Az_belt_B077	CentralAmerica	
JQ867698_Az_pitt_B099	CentralAmerica	
JQ867699_Az_pitt_B101	CentralAmerica	
JQ867700_Az_belt_B113	CentralAmerica	
JQ867701_Az_belt_B117	CentralAmerica	
JQ867702_Az_belt_B122	CentralAmerica	
JQ867703_Az_pitt_B126	CentralAmerica	
JQ867704_Az_pitt_B128	CentralAmerica	
JQ867705_Az_pitt_B132	CentralAmerica	
JQ867706_Az_belt_B134	CentralAmerica	
JQ867708_Az_pitt_B138	CentralAmerica	
JQ867709_Az_belt_B140	CentralAmerica	
JQ867710_Az_pitt_B142	CentralAmerica	
JQ867711_Az_pitt_B150	CentralAmerica	
JQ867712_Az_pitt_B152	CentralAmerica	
JQ867713_Az_pitt_B155	CentralAmerica	
JQ867714_Az_belt_B159	CentralAmerica	
JQ867715_Az_belt_B164	CentralAmerica	
JQ867716_Az_pitt_B173	CentralAmerica	
JQ867717_Az_pitt_B175	CentralAmerica	
JQ867718_Az_pitt_B178	CentralAmerica	
JQ867719_Az_pitt_B183	CentralAmerica	
JQ867720_Az_pitt_B192	CentralAmerica	
JQ867721_Az_pitt_B196	CentralAmerica	
JQ867722_Az_pitt_B205	CentralAmerica	
JQ867723_Az_pitt_B208	CentralAmerica	
JQ867724_Az_pitt_B213	CentralAmerica	
JQ867725_Az_belt_B223	CentralAmerica	
JQ867726_Az_ovat_B224	CentralAmerica	
JQ867727_Az_pitt_B226	CentralAmerica	
JQ867728_Az_pitt_B227	CentralAmerica	
JQ867729_Az_pitt_B230	CentralAmerica	
JQ867730_Az_belt_B231	CentralAmerica	
JQ867731_Az_pitt_B232	CentralAmerica	
JQ867732_Az_pitt_B233	CentralAmerica	
JQ867733_Az_pitt_B235	CentralAmerica	
JQ867734_Az_pitt_B236	CentralAmerica	
JQ867735_Az_pitt_B237	CentralAmerica	
JQ867736_Az_pitt_B246	CentralAmerica	
JQ867737_Az_pitt_B248	CentralAmerica	
JQ867738_Az_pitt_B249	CentralAmerica	
JQ867739_Az_pitt_B250	CentralAmerica	
JQ867740_Az_pitt_B252	CentralAmerica	
JQ867742_Az_pitt_B255	CentralAmerica	
JQ867743_Az_belt_B256	CentralAmerica	
JQ867744_Az_belt_B257	CentralAmerica	
JQ867745_Az_belt_B258	CentralAmerica	
JQ867746_Az_belt_B259	CentralAmerica	
JQ867747_Az_pitt_B269	CentralAmerica	
JQ867748_Az_pitt_B270	CentralAmerica	
JQ867749_Az_pitt_B271	CentralAmerica	
JQ867750_Az_pitt_B272	CentralAmerica	
JQ867751_Az_pitt_B274	CentralAmerica	
JQ867752_Az_pitt_B275	CentralAmerica	
JQ867753_Az_pitt_B276	CentralAmerica	
JQ867754_Az_pitt_B277	CentralAmerica	
JQ867755_Az_pitt_B278	CentralAmerica	
JQ867756_Az_pitt_B279	CentralAmerica	
JQ867757_Az_pitt_B280	CentralAmerica	
JQ867758_Az_pitt_B281	CentralAmerica	
JQ867759_Az_pitt_D560	CentralAmerica	
JQ867760_Az_pitt_D562	CentralAmerica	
JQ867761_Az_pitt_D563	CentralAmerica	
JQ867762_Az_pitt_D574	CentralAmerica	
JQ867763_Az_pitt_EGP100	CentralAmerica	
JQ867764_Az_pitt_EGP101	CentralAmerica	
JQ867765_Az_pitt_EGP103	CentralAmerica	
JQ867766_Az_pitt_EGP105	CentralAmerica	
JQ867767_Az_belt_EGP108	CentralAmerica	
JQ867768_Az_pitt_EGP110	CentralAmerica	
JQ867769_Az_pitt_EGP112	CentralAmerica	
JQ867770_Az_pitt_EGP114	CentralAmerica	
JQ867771_Az_pitt_EGP117	CentralAmerica	
JQ867772_Az_pitt_EGP119	CentralAmerica	
JQ867774_Az_pitt_EGP124	CentralAmerica	
JQ867775_Az_pitt_EGP126	CentralAmerica	
JQ867776_Az_pitt_EGP128	CentralAmerica	
JQ867777_Az_pitt_EGP130	CentralAmerica	
JQ867778_Az_pitt_EGP133	CentralAmerica	
JQ867779_Az_pitt_EGP135	CentralAmerica	
JQ867780_Az_pitt_EGP144	CentralAmerica	
JQ867781_Az_pitt_EGP146	CentralAmerica	
JQ867782_Az_pitt_EGP148	CentralAmerica	
JQ867783_Az_pitt_EGP149	CentralAmerica	
JQ867784_Az_pitt_EGP152	CentralAmerica	
JQ867785_Az_belt_EGP153	CentralAmerica	
JQ867786_Az_pitt_EGP16	CentralAmerica	
JQ867787_Az_fore_EGP160	CentralAmerica	
JQ867788_Az_pitt_EGP161	CentralAmerica	
JQ867789_Az_belt_EGP162	CentralAmerica	
JQ867790_Az_pitt_EGP165	CentralAmerica	
JQ867791_Az_pitt_EGP167	CentralAmerica	
JQ867792_Az_pitt_EGP169	CentralAmerica	
JQ867793_Az_pitt_EGP17	CentralAmerica	
JQ867794_Az_pitt_EGP170	CentralAmerica	
JQ867795_Az_pitt_EGP172	CentralAmerica	
JQ867796_Az_pitt_EGP173	CentralAmerica	
JQ867797_Az_pitt_EGP18	CentralAmerica	
JQ867799_Az_pitt_EGP181	CentralAmerica	
JQ867800_Az_pitt_EGP182	CentralAmerica	
JQ867801_Az_pitt_EGP184	CentralAmerica	
JQ867802_Az_pitt_EGP186	CentralAmerica	
JQ867803_Az_pitt_EGP187	CentralAmerica	
JQ867804_Az_pitt_EGP20	CentralAmerica	
JQ867805_Az_pitt_EGP200	CentralAmerica	
JQ867806_Az_pitt_EGP202	CentralAmerica	
JQ867807_Az_pitt_EGP207	CentralAmerica	
JQ867808_Az_pitt_EGP211	CentralAmerica	
JQ867809_Az_pitt_EGP212	CentralAmerica	
JQ867810_Az_pitt_EGP216	CentralAmerica	
JQ867811_Az_pitt_EGP218	CentralAmerica	
JQ867812_Az_pitt_EGP22	CentralAmerica	
JQ867813_Az_belt_EGP220	CentralAmerica	
